Topic,Sentiment,Count
Donald Trump versus Science,-0.159699966,996244
Global stance,0.069316014,4135619
Ideological Positions on Global Warming,-0.197714738,602695
Impact of Resource Overconsumption,-0.1037946,496924
Importance of Human Intervention,0.069617148,2594941
Politics,-0.084755899,1809583
Seriousness of Gas Emissions,-0.047571556,903478
Significance of Pollution Awareness Events,-0.029121765,479995
Undefined / One Word Hashtags,0.241091282,1305118
Weather Extremes,-0.081850534,2464814
