Topic,Year,most_popular_stance,Count
Ideological Positions on Global Warming,2006,believer,2
Impact of Resource Overconsumption,2006,believer,1
Importance of Human Intervention,2006,neutral,1
Seriousness of Gas Emissions,2006,neutral,1
Weather Extremes,2006,neutral,7
Donald Trump versus Science,2007,neutral,253
Global stance,2007,believer,783
Ideological Positions on Global Warming,2007,neutral,85
Impact of Resource Overconsumption,2007,neutral,138
Importance of Human Intervention,2007,neutral,1074
Politics,2007,neutral,189
Seriousness of Gas Emissions,2007,neutral,251
Significance of Pollution Awareness Events,2007,believer,63
Undefined / One Word Hashtags,2007,neutral,29
Weather Extremes,2007,neutral,1096
Donald Trump versus Science,2008,neutral,2457
Global stance,2008,believer,6604
Ideological Positions on Global Warming,2008,neutral,902
Impact of Resource Overconsumption,2008,neutral,1026
Importance of Human Intervention,2008,neutral,4807
Politics,2008,neutral,2276
Seriousness of Gas Emissions,2008,neutral,1897
Significance of Pollution Awareness Events,2008,believer,502
Undefined / One Word Hashtags,2008,believer,234
Weather Extremes,2008,neutral,9275
Donald Trump versus Science,2009,neutral,33922
Global stance,2009,believer,117121
Ideological Positions on Global Warming,2009,denier,19726
Impact of Resource Overconsumption,2009,believer,10251
Importance of Human Intervention,2009,believer,104609
Politics,2009,believer,43812
Seriousness of Gas Emissions,2009,believer,34127
Significance of Pollution Awareness Events,2009,believer,8249
Undefined / One Word Hashtags,2009,believer,13871
Weather Extremes,2009,neutral,103381
Donald Trump versus Science,2010,neutral,37137
Global stance,2010,believer,59928
Ideological Positions on Global Warming,2010,neutral,42604
Impact of Resource Overconsumption,2010,believer,12184
Importance of Human Intervention,2010,believer,34885
Politics,2010,believer,27945
Seriousness of Gas Emissions,2010,believer,43514
Significance of Pollution Awareness Events,2010,believer,11024
Undefined / One Word Hashtags,2010,believer,15841
Weather Extremes,2010,neutral,162825
Donald Trump versus Science,2011,neutral,29170
Global stance,2011,believer,11465
Ideological Positions on Global Warming,2011,neutral,42509
Impact of Resource Overconsumption,2011,neutral,7676
Importance of Human Intervention,2011,believer,7559
Politics,2011,believer,7320
Seriousness of Gas Emissions,2011,believer,38213
Significance of Pollution Awareness Events,2011,believer,7763
Undefined / One Word Hashtags,2011,believer,12020
Weather Extremes,2011,neutral,154169
Donald Trump versus Science,2012,believer,17459
Global stance,2012,believer,6873
Ideological Positions on Global Warming,2012,neutral,19039
Impact of Resource Overconsumption,2012,neutral,3957
Importance of Human Intervention,2012,believer,4825
Politics,2012,believer,4176
Seriousness of Gas Emissions,2012,believer,21414
Significance of Pollution Awareness Events,2012,believer,4856
Undefined / One Word Hashtags,2012,believer,11240
Weather Extremes,2012,neutral,104852
Donald Trump versus Science,2013,believer,28154
Global stance,2013,believer,10387
Ideological Positions on Global Warming,2013,neutral,26436
Impact of Resource Overconsumption,2013,neutral,7683
Importance of Human Intervention,2013,believer,7599
Politics,2013,believer,6416
Seriousness of Gas Emissions,2013,believer,35000
Significance of Pollution Awareness Events,2013,believer,9216
Undefined / One Word Hashtags,2013,believer,14576
Weather Extremes,2013,neutral,137009
Donald Trump versus Science,2014,believer,39377
Global stance,2014,believer,35143
Ideological Positions on Global Warming,2014,neutral,23618
Impact of Resource Overconsumption,2014,neutral,15987
Importance of Human Intervention,2014,believer,24159
Politics,2014,believer,14843
Seriousness of Gas Emissions,2014,believer,45480
Significance of Pollution Awareness Events,2014,believer,10211
Undefined / One Word Hashtags,2014,believer,26500
Weather Extremes,2014,neutral,173133
Donald Trump versus Science,2015,believer,62314
Global stance,2015,believer,396370
Ideological Positions on Global Warming,2015,believer,26506
Impact of Resource Overconsumption,2015,believer,30280
Importance of Human Intervention,2015,believer,239367
Politics,2015,believer,148113
Seriousness of Gas Emissions,2015,believer,61281
Significance of Pollution Awareness Events,2015,believer,23877
Undefined / One Word Hashtags,2015,believer,110076
Weather Extremes,2015,believer,161175
Donald Trump versus Science,2016,believer,73526
Global stance,2016,believer,349082
Ideological Positions on Global Warming,2016,believer,28646
Impact of Resource Overconsumption,2016,believer,37146
Importance of Human Intervention,2016,believer,194707
Politics,2016,believer,136879
Seriousness of Gas Emissions,2016,believer,58984
Significance of Pollution Awareness Events,2016,believer,25055
Undefined / One Word Hashtags,2016,believer,139236
Weather Extremes,2016,believer,135905
Donald Trump versus Science,2017,believer,191473
Global stance,2017,believer,691155
Ideological Positions on Global Warming,2017,believer,79765
Impact of Resource Overconsumption,2017,believer,66008
Importance of Human Intervention,2017,believer,371945
Politics,2017,believer,337688
Seriousness of Gas Emissions,2017,believer,124878
Significance of Pollution Awareness Events,2017,believer,73700
Undefined / One Word Hashtags,2017,believer,302904
Weather Extremes,2017,believer,498018
Donald Trump versus Science,2018,believer,375144
Global stance,2018,believer,1838907
Ideological Positions on Global Warming,2018,believer,234961
Impact of Resource Overconsumption,2018,believer,239208
Importance of Human Intervention,2018,believer,1090083
Politics,2018,believer,772134
Seriousness of Gas Emissions,2018,believer,365239
Significance of Pollution Awareness Events,2018,believer,184276
Undefined / One Word Hashtags,2018,believer,567509
Weather Extremes,2018,believer,591929
Donald Trump versus Science,2019,believer,105858
Global stance,2019,believer,611801
Ideological Positions on Global Warming,2019,believer,57896
Impact of Resource Overconsumption,2019,believer,65379
Importance of Human Intervention,2019,believer,509321
Politics,2019,believer,307792
Seriousness of Gas Emissions,2019,believer,73199
Significance of Pollution Awareness Events,2019,neutral,121203
Undefined / One Word Hashtags,2019,believer,91082
Weather Extremes,2019,believer,232040
