Year,Topic,Count
2006,Ideological Positions on Global Warming,2
2006,Impact of Resource Overconsumption,1
2006,Importance of Human Intervention,1
2006,Seriousness of Gas Emissions,1
2006,Weather Extremes,7
2007,Donald Trump versus Science,253
2007,Global stance,783
2007,Ideological Positions on Global Warming,85
2007,Impact of Resource Overconsumption,138
2007,Importance of Human Intervention,1074
2007,Politics,189
2007,Seriousness of Gas Emissions,251
2007,Significance of Pollution Awareness Events,63
2007,Undefined / One Word Hashtags,29
2007,Weather Extremes,1096
2008,Donald Trump versus Science,2457
2008,Global stance,6604
2008,Ideological Positions on Global Warming,902
2008,Impact of Resource Overconsumption,1026
2008,Importance of Human Intervention,4807
2008,Politics,2276
2008,Seriousness of Gas Emissions,1897
2008,Significance of Pollution Awareness Events,502
2008,Undefined / One Word Hashtags,234
2008,Weather Extremes,9275
2009,Donald Trump versus Science,33922
2009,Global stance,117121
2009,Ideological Positions on Global Warming,19726
2009,Impact of Resource Overconsumption,10251
2009,Importance of Human Intervention,104609
2009,Politics,43812
2009,Seriousness of Gas Emissions,34127
2009,Significance of Pollution Awareness Events,8249
2009,Undefined / One Word Hashtags,13871
2009,Weather Extremes,103381
2010,Donald Trump versus Science,37137
2010,Global stance,59928
2010,Ideological Positions on Global Warming,42604
2010,Impact of Resource Overconsumption,12184
2010,Importance of Human Intervention,34885
2010,Politics,27945
2010,Seriousness of Gas Emissions,43514
2010,Significance of Pollution Awareness Events,11024
2010,Undefined / One Word Hashtags,15841
2010,Weather Extremes,162825
2011,Donald Trump versus Science,29170
2011,Global stance,11465
2011,Ideological Positions on Global Warming,42509
2011,Impact of Resource Overconsumption,7676
2011,Importance of Human Intervention,7559
2011,Politics,7320
2011,Seriousness of Gas Emissions,38213
2011,Significance of Pollution Awareness Events,7763
2011,Undefined / One Word Hashtags,12020
2011,Weather Extremes,154169
2012,Donald Trump versus Science,17459
2012,Global stance,6873
2012,Ideological Positions on Global Warming,19039
2012,Impact of Resource Overconsumption,3957
2012,Importance of Human Intervention,4825
2012,Politics,4176
2012,Seriousness of Gas Emissions,21414
2012,Significance of Pollution Awareness Events,4856
2012,Undefined / One Word Hashtags,11240
2012,Weather Extremes,104852
2013,Donald Trump versus Science,28154
2013,Global stance,10387
2013,Ideological Positions on Global Warming,26436
2013,Impact of Resource Overconsumption,7683
2013,Importance of Human Intervention,7599
2013,Politics,6416
2013,Seriousness of Gas Emissions,35000
2013,Significance of Pollution Awareness Events,9216
2013,Undefined / One Word Hashtags,14576
2013,Weather Extremes,137009
2014,Donald Trump versus Science,39377
2014,Global stance,35143
2014,Ideological Positions on Global Warming,23618
2014,Impact of Resource Overconsumption,15987
2014,Importance of Human Intervention,24159
2014,Politics,14843
2014,Seriousness of Gas Emissions,45480
2014,Significance of Pollution Awareness Events,10211
2014,Undefined / One Word Hashtags,26500
2014,Weather Extremes,173133
2015,Donald Trump versus Science,62314
2015,Global stance,396370
2015,Ideological Positions on Global Warming,26506
2015,Impact of Resource Overconsumption,30280
2015,Importance of Human Intervention,239367
2015,Politics,148113
2015,Seriousness of Gas Emissions,61281
2015,Significance of Pollution Awareness Events,23877
2015,Undefined / One Word Hashtags,110076
2015,Weather Extremes,161175
2016,Donald Trump versus Science,73526
2016,Global stance,349082
2016,Ideological Positions on Global Warming,28646
2016,Impact of Resource Overconsumption,37146
2016,Importance of Human Intervention,194707
2016,Politics,136879
2016,Seriousness of Gas Emissions,58984
2016,Significance of Pollution Awareness Events,25055
2016,Undefined / One Word Hashtags,139236
2016,Weather Extremes,135905
2017,Donald Trump versus Science,191473
2017,Global stance,691155
2017,Ideological Positions on Global Warming,79765
2017,Impact of Resource Overconsumption,66008
2017,Importance of Human Intervention,371945
2017,Politics,337688
2017,Seriousness of Gas Emissions,124878
2017,Significance of Pollution Awareness Events,73700
2017,Undefined / One Word Hashtags,302904
2017,Weather Extremes,498018
2018,Donald Trump versus Science,375144
2018,Global stance,1838907
2018,Ideological Positions on Global Warming,234961
2018,Impact of Resource Overconsumption,239208
2018,Importance of Human Intervention,1090083
2018,Politics,772134
2018,Seriousness of Gas Emissions,365239
2018,Significance of Pollution Awareness Events,184276
2018,Undefined / One Word Hashtags,567509
2018,Weather Extremes,591929
2019,Donald Trump versus Science,105858
2019,Global stance,611801
2019,Ideological Positions on Global Warming,57896
2019,Impact of Resource Overconsumption,65379
2019,Importance of Human Intervention,509321
2019,Politics,307792
2019,Seriousness of Gas Emissions,73199
2019,Significance of Pollution Awareness Events,121203
2019,Undefined / One Word Hashtags,91082
2019,Weather Extremes,232040
