date,projected_warming,actual_warming
2010-01-01,3.200,0.68037146
2010-02-01,3.200,0.68037146
2010-03-01,3.200,0.68037146
2010-04-01,3.200,0.68037146
2010-05-01,3.200,0.68037146
2010-06-01,3.200,0.68037146
2010-07-01,3.200,0.68037146
2010-08-01,3.200,0.68037146
2010-09-01,3.200,0.68037146
2010-10-01,3.200,0.68037146
2010-11-01,3.200,0.68037146
2010-12-01,3.200,0.68037146
2011-01-01,3.200,0.53769773
2011-02-01,3.200,0.53769773
2011-03-01,3.200,0.53769773
2011-04-01,3.200,0.53769773
2011-05-01,3.200,0.53769773
2011-06-01,3.200,0.53769773
2011-07-01,3.200,0.53769773
2011-08-01,3.200,0.53769773
2011-09-01,3.200,0.53769773
2011-10-01,3.200,0.53769773
2011-11-01,3.200,0.53769773
2011-12-01,3.200,0.53769773
2012-01-01,3.200,0.5776071
2012-02-01,3.200,0.5776071
2012-03-01,3.200,0.5776071
2012-04-01,3.200,0.5776071
2012-05-01,3.200,0.5776071
2012-06-01,3.200,0.5776071
2012-07-01,3.200,0.5776071
2012-08-01,3.200,0.5776071
2012-09-01,3.200,0.5776071
2012-10-01,3.200,0.5776071
2012-11-01,3.200,0.5776071
2012-12-01,3.200,0.5776071
2013-01-01,3.200,0.6235754
2013-02-01,3.200,0.6235754
2013-03-01,3.200,0.6235754
2013-04-01,3.200,0.6235754
2013-05-01,3.200,0.6235754
2013-06-01,3.200,0.6235754
2013-07-01,3.200,0.6235754
2013-08-01,3.200,0.6235754
2013-09-01,3.200,0.6235754
2013-10-01,3.200,0.6235754
2013-11-01,3.200,0.6235754
2013-12-01,3.200,0.6235754
2014-01-01,3.200,0.67287165
2014-02-01,3.200,0.67287165
2014-03-01,3.200,0.67287165
2014-04-01,3.200,0.67287165
2014-05-01,3.200,0.67287165
2014-06-01,3.200,0.67287165
2014-07-01,3.200,0.67287165
2014-08-01,3.200,0.67287165
2014-09-01,3.200,0.67287165
2014-10-01,3.200,0.67287165
2014-11-01,3.200,0.67287165
2014-12-01,3.200,0.67287165
2015-01-01,3.200,0.82511437
2015-02-01,3.200,0.82511437
2015-03-01,3.200,0.82511437
2015-04-01,3.200,0.82511437
2015-05-01,3.200,0.82511437
2015-06-01,3.200,0.82511437
2015-07-01,3.200,0.82511437
2015-08-01,3.200,0.82511437
2015-09-01,3.200,0.82511437
2015-10-01,3.200,0.82511437
2015-11-01,3.200,0.82511437
2015-12-01,3.200,0.82511437
2016-01-01,3.195,0.93292713
2016-02-01,3.190,0.93292713
2016-03-01,3.184,0.93292713
2016-04-01,3.179,0.93292713
2016-05-01,3.174,0.93292713
2016-06-01,3.169,0.93292713
2016-07-01,3.164,0.93292713
2016-08-01,3.158,0.93292713
2016-09-01,3.153,0.93292713
2016-10-01,3.148,0.93292713
2016-11-01,3.143,0.93292713
2016-12-01,3.138,0.93292713
2017-01-01,3.132,0.84517425
2017-02-01,3.127,0.84517425
2017-03-01,3.122,0.84517425
2017-04-01,3.117,0.84517425
2017-05-01,3.111,0.84517425
2017-06-01,3.106,0.84517425
2017-07-01,3.101,0.84517425
2017-08-01,3.096,0.84517425
2017-09-01,3.091,0.84517425
2017-10-01,3.085,0.84517425
2017-11-01,3.080,0.84517425
2017-12-01,3.075,0.84517425
2018-01-01,3.070,0.762654
2018-02-01,3.065,0.762654
2018-03-01,3.059,0.762654
2018-04-01,3.054,0.762654
2018-05-01,3.049,0.762654
