Entity,Code ISO3,Year,Status of net-zero carbon emissions targets,by_2050_law,other
Afghanistan,AFG,2050,Proposed / in discussion,FALSE,TRUE
Albania,ALB,2030,In policy document,FALSE,TRUE
Algeria,DZA,2030,In policy document,FALSE,TRUE
Andorra,AND,2050,In policy document,FALSE,TRUE
Angola,AGO,2050,Proposed / in discussion,FALSE,TRUE
Antigua and Barbuda,ATG,2040,In policy document,FALSE,TRUE
Argentina,ARG,2050,In policy document,FALSE,TRUE
Armenia,ARM,2050,Proposed / in discussion,FALSE,TRUE
Australia,AUS,2050,In law,TRUE,TRUE
Austria,AUT,2040,In law,TRUE,TRUE
Azerbaijan,AZE,2030,In policy document,FALSE,TRUE
Bahamas,BHS,2050,Proposed / in discussion,FALSE,TRUE
Bahrain,BHR,2060,Declaration / pledge,FALSE,TRUE
Bangladesh,BGD,2050,Proposed / in discussion,FALSE,TRUE
Barbados,BRB,2030,In policy document,FALSE,TRUE
Belarus,BLR,2030,In policy document,FALSE,TRUE
Belgium,BEL,2050,In policy document,FALSE,TRUE
Belize,BLZ,2050,In policy document,FALSE,TRUE
Benin,BEN,2000,Achieved (self-declared),FALSE,TRUE
Bermuda,BMU,2035,In policy document,FALSE,TRUE
Bhutan,BTN,2030,Achieved (self-declared),FALSE,TRUE
Bosnia and Herz.,BIH,2050,Declaration / pledge,FALSE,TRUE
Botswana,BWA,2030,In policy document,FALSE,TRUE
Brazil,BRA,2050,In policy document,FALSE,TRUE
Brunei,BRN,2030,In policy document,FALSE,TRUE
Bulgaria,BGR,2050,Proposed / in discussion,FALSE,TRUE
Burkina Faso,BFA,2050,Proposed / in discussion,FALSE,TRUE
Burundi,BDI,2050,Proposed / in discussion,FALSE,TRUE
Cambodia,KHM,2050,In policy document,FALSE,TRUE
Cameroon,CMR,2030,In policy document,FALSE,TRUE
Canada,CAN,2050,In law,TRUE,TRUE
Cape Verde,CPV,2050,In policy document,FALSE,TRUE
Central African Rep.,CAF,2050,Proposed / in discussion,FALSE,TRUE
Chad,TCD,2050,Proposed / in discussion,FALSE,TRUE
Chile,CHL,2050,In law,TRUE,TRUE
China,CHN,2060,In policy document,FALSE,TRUE
Colombia,COL,2050,In law,TRUE,TRUE
Comoros,COM,2050,Achieved (self-declared),FALSE,TRUE
Congo,COG,2030,Declaration / pledge,FALSE,TRUE
Costa Rica,CRI,2050,In policy document,FALSE,TRUE
Côte d'Ivoire,CIV,2030,Declaration / pledge,FALSE,TRUE
Croatia,HRV,2050,In policy document,FALSE,TRUE
Cuba,CUB,2030,In policy document,FALSE,TRUE
Cyprus,CYP,2050,In policy document,FALSE,TRUE
Czechia,CZE,2050,Proposed / in discussion,FALSE,TRUE
Dem. Rep. Congo,COD,2050,Proposed / in discussion,FALSE,TRUE
Denmark,DNK,2050,In law,TRUE,TRUE
Djibouti,DJI,2050,Proposed / in discussion,FALSE,TRUE
Dominica,DMA,2030,In policy document,FALSE,TRUE
Dominican Rep.,DOM,2050,Proposed / in discussion,FALSE,TRUE
East Timor,TLS,2050,Proposed / in discussion,FALSE,TRUE
Ecuador,ECU,2050,In policy document,FALSE,TRUE
Egypt,EGY,2030,In policy document,FALSE,TRUE
El Salvador,SLV,2030,In policy document,FALSE,TRUE
Eq. Guinea,GNQ,2050,In policy document,FALSE,TRUE
Eritrea,ERI,2050,Proposed / in discussion,FALSE,TRUE
Estonia,EST,2050,Declaration / pledge,FALSE,TRUE
eSwatini,SWZ,2030,In policy document,FALSE,TRUE
Ethiopia,ETH,2050,In policy document,FALSE,TRUE
European Union (27),,2050,In law,TRUE,TRUE
Fiji,FJI,2050,In law,TRUE,TRUE
Finland,FIN,2035,In law,TRUE,TRUE
France,FRA,2050,In law,TRUE,TRUE
Gabon,GAB,2050,Achieved (self-declared),FALSE,TRUE
Gambia,GMB,2050,In policy document,FALSE,TRUE
Georgia,GEO,2050,In policy document,FALSE,TRUE
Germany,DEU,2045,In law,TRUE,TRUE
Ghana,GHA,2070,Declaration / pledge,FALSE,TRUE
